label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,63,0,0,0,0,0,0,0,0,0,0,0,0,0,127,251,62,0,0,0,0,0,0,0,0,0,0,0,0,0,236,211,8,0,0,0,0,0,0,0,0,0,0,0,0,155,253,0,0,0,0,0,0,0,0,0,0,0,0,0,205,253,126,0,0,0,0,0,0,0,0,0,0,0,0,80,251,193,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,159,0,0,0,0,0,0,0,0,0,0,0,0,48,251,172,0,0,0,0,0,0,0,0,0,0,0,0,0,253,251,0,0,0,0,0,0,0,0,0,0,0,0,0,48,253,140,0,0,0,0,0,0,0,0,0,0,0,0,0,64,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,252,71,0,0,0,0,0,0,0,0,0,0,0,0,0,144,252,71,0,0,0,0,0,0,0,0,0,0,0,0,0,191,252,71,0,0,0,0,0,0,0,0,0,0,0,0,0,125,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,252,42,0,0,0,0,0,0,0,0,0,0,0,0,0,252,252,144,0,0,0,0,0,0,0,0,0,0,0,0,0,175,252,253,0,0,0,0,0,0,0,0,0,0,0,0,0,73,252,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,254,48,0,0,0,0,0,0,0,0,0,0,0,0,0,20,255,48,0,0,0,0,0,0,0,0,0,0,0,0,0,20,254,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,254,103,0,0,0,0,0,0,0,0,0,0,0,0,0,29,254,109,0,0,0,0,0,0,0,0,0,0,0,0,0,29,254,109,0,0,0,0,0,0,0,0,0,0,0,0,0,29,254,109,0,0,0,0,0,0,0,0,0,0,0,0,0,29,254,28,0,0,0,0,0,0,0,0,0,0,0,0,0,29,254,35,0,0,0,0,0,0,0,0,0,0,0,0,0,6,254,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,253,42,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,211,253,69,0,0,0,0,0,0,0,0,0,0,0,0,142,255,186,0,0,0,0,0,0,0,0,0,0,0,0,54,253,254,0,0,0,0,0,0,0,0,0,0,0,0,0,152,254,213,0,0,0,0,0,0,0,0,0,0,0,0,29,253,149,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,84,0,0,0,0,0,0,0,0,0,0,0,0,0,43,253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,55,0,0,0,0,0,0,0,0,0,0,0,0,0,29,249,254,0,0,0,0,0,0,0,0,0,0,0,0,0,164,254,85,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,85,0,0,0,0,0,0,0,0,0,0,0,0,248,204,254,85,0,0,0,0,0,0,0,0,0,216,254,239,37,32,254,85,0,0,0,0,0,0,0,0,0,0,0,0,0,19,230,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,63,0,0,0,0,0,0,0,0,0,6,41,244,254,236,254,254,239,138,0,0,0,0,0,0,0,254,254,179,5,0,0,0,0,0,0,0,0,0,0,0,0,209,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,253,23,0,0,0,0,0,0,0,0,0,0,0,0,0,199,253,6,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,17,253,235,0,0,0,0,0,0,0,0,0,0,0,0,0,24,253,176,0,0,0,0,0,0,0,0,0,0,0,0,0,24,253,176,0,0,0,0,0,0,0,0,0,0,0,0,0,24,253,162,0,0,0,0,0,0,0,0,0,0,0,0,0,142,253,59,0,0,0,0,0,0,0,0,0,0,0,0,0,142,253,59,0,0,0,0,0,0,0,0,0,0,0,0,0,87,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,134,0,0,0,0,0,0,0,0,0,0,0,0,0,184,245,0,0,0,0,0,0,0,0,0,0,0,0,0,229,254,73,0,0,0,0,0,0,0,0,0,0,0,0,152,254,213,0,0,0,0,0,0,0,0,0,0,0,0,0,243,253,115,0,0,0,0,0,0,0,0,0,0,0,0,30,253,55,0,0,0,0,0,0,0,0,0,0,0,0,0,232,189,0,0,0,0,0,0,0,0,0,0,0,0,0,43,253,195,0,0,0,0,0,0,0,0,0,0,0,0,0,28,253,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,131,131,101,92,0,0,0,0,0,0,0,0,0,0,0,0,0,29,112,0,222,0,0,0,0,0,0,0,0,0,0,0,0,120,254,127,222,0,0,0,0,0,0,0,0,0,0,0,0,247,254,50,107,0,0,0,0,0,0,0,0,0,0,0,0,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,113,255,239,0,0,0,0,0,0,0,0,0,0,0,0,0,210,254,195,0,0,0,0,0,0,0,0,0,0,0,0,0,254,189,0,0,104,0,0,0,0,0,0,0,0,0,0,0,254,51,0,0,80,0,0,0,0,0,0,0,0,0,0,55,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,70,0,0,0,0,0,0,0,0,0,0,0,0,0,223,253,247,0,0,0,0,0,0,0,0,0,0,0,0,236,253,253,242,0,0,0,0,0,0,0,0,0,0,0,0,253,191,253,149,0,0,0,0,0,0,0,0,0,0,0,0,36,14,253,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,52,0,0,0,0,0,0,0,0,0,0,0,0,0,61,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,253,0,9,233,0,0,0,0,0,0,0,0,0,0,0,230,253,252,253,253,0,0,0,0,0,0,0,0,0,0,126,253,253,254,168,0,0,0,0,0,0,0,0,0,0,0,79,253,190,132,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
