label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,77,137,136,136,6,0,0,0,0,0,0,0,19,164,114,0,140,0,0,0,230,254,14,0,0,0,0,41,198,43,0,0,0,0,0,0,0,24,223,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,255,0,0,0,0,0,0,0,0,5,127,133,0,0,0,0,254,0,0,0,0,0,0,0,79,216,84,0,0,0,0,0,14,235,142,0,0,157,231,126,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,253,148,254,253,73,0,0,0,0,0,0,0,0,0,37,246,180,4,18,241,253,236,28,0,0,0,0,0,0,0,235,253,107,0,0,109,253,253,174,0,0,0,0,0,0,156,250,253,0,0,0,0,99,253,253,5,0,0,0,0,32,253,253,97,0,0,0,0,0,253,253,57,0,0,0,0,60,255,254,0,0,0,0,0,0,226,254,58,0,0,0,0,59,253,253,0,0,0,0,0,0,253,253,57,0,0,0,0,59,253,253,90,0,0,0,0,16,253,253,49,0,0,0,0,59,253,253,253,109,0,0,0,194,253,174,0,0,0,0,0,0,0,235,253,253,253,254,253,253,26,0,0,0,0,0,0,0,0,108,200,253,253,254,253,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,252,252,252,252,252,162,26,0,0,0,0,0,0,0,0,252,252,141,0,230,252,252,98,0,0,0,0,0,0,0,0,252,252,141,0,73,252,252,98,0,0,0,0,0,0,0,123,252,202,0,0,0,56,252,252,0,0,0,0,0,0,146,252,252,0,0,0,0,56,252,252,0,0,0,0,0,0,252,252,252,0,0,0,0,56,252,252,0,0,0,0,0,0,252,252,252,0,0,0,0,56,252,252,0,0,0,0,0,0,252,252,54,0,0,0,19,245,252,98,0,0,0,0,0,0,252,252,252,89,89,89,252,252,209,64,0,0,0,0,0,0,252,252,252,252,252,252,252,77,0,0,0,0,0,0,0,0,65,163,252,252,252,252,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,253,104,0,0,0,0,0,0,0,0,0,0,0,0,75,11,222,254,253,245,36,0,0,0,0,0,0,0,0,86,249,0,44,224,253,253,214,10,0,0,0,0,0,0,15,253,48,0,0,0,0,4,253,248,0,0,0,0,0,0,164,253,0,0,0,0,0,0,253,163,0,0,0,0,0,0,253,253,0,0,0,0,0,206,253,40,0,0,0,0,0,0,253,253,0,0,0,0,0,253,245,13,0,0,0,0,0,0,253,253,0,0,0,0,14,253,0,0,0,0,0,0,0,0,86,253,239,8,0,56,253,213,0,0,0,0,0,0,0,0,4,59,253,253,253,254,250,0,0,0,0,0,0,0,0,0,0,0,122,253,253,255,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,251,253,251,199,0,0,0,0,0,0,0,0,0,0,0,117,251,243,239,251,218,0,0,0,0,0,0,0,0,0,0,251,251,120,175,251,231,0,0,0,0,0,0,0,0,0,163,251,81,0,0,251,251,179,0,0,0,0,0,0,0,144,251,173,0,0,0,167,251,251,0,0,0,0,0,0,176,253,216,0,0,0,0,99,253,253,0,0,0,0,0,0,210,251,96,0,0,0,0,98,251,214,0,0,0,0,0,55,251,251,7,0,0,0,28,251,231,0,0,0,0,0,0,59,251,251,0,0,155,179,251,251,15,0,0,0,0,0,0,41,251,251,251,251,251,253,196,0,0,0,0,0,0,0,0,0,115,241,251,251,251,253,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,251,253,169,0,0,0,0,0,0,0,0,0,0,0,0,251,251,253,253,225,0,0,0,0,0,0,0,0,0,0,169,253,56,0,254,254,0,0,0,0,0,0,0,0,0,0,253,84,0,0,57,254,0,0,0,0,0,0,0,0,0,169,253,0,0,0,0,254,169,0,0,0,0,0,0,0,0,169,84,0,0,0,0,254,0,0,0,0,0,0,0,0,0,168,83,0,0,0,0,253,0,0,0,0,0,0,0,0,85,251,83,0,0,0,57,253,0,0,0,0,0,0,0,0,0,168,251,56,114,169,253,253,0,0,0,0,0,0,0,0,0,56,251,251,251,253,253,56,0,0,0,0,0,0,0,0,0,0,225,253,253,254,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,254,243,76,0,0,0,0,0,0,0,0,0,0,0,109,254,254,197,0,0,0,0,0,0,0,0,0,0,0,9,254,240,229,254,152,0,0,0,0,0,0,0,0,0,13,254,250,0,0,2,236,131,0,0,0,0,0,0,0,30,186,254,29,0,0,0,0,254,91,0,0,0,0,0,0,133,254,126,0,0,0,0,0,250,17,0,0,0,0,0,0,187,254,23,0,0,0,0,0,183,0,0,0,0,0,0,0,183,254,0,0,0,0,0,254,34,0,0,0,0,0,0,0,92,254,0,0,0,0,252,188,0,0,0,0,0,0,0,0,0,224,130,68,214,254,159,0,0,0,0,0,0,0,0,0,0,141,254,254,254,233,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,212,195,0,0,0,0,0,0,0,0,0,0,0,0,115,254,254,254,230,12,0,0,0,0,0,0,0,0,0,0,250,245,226,254,254,148,0,0,0,0,0,0,0,0,0,152,254,0,0,124,254,254,213,0,0,0,0,0,0,0,50,254,20,0,0,0,0,200,254,0,0,0,0,0,0,177,254,218,0,0,0,0,0,211,254,0,0,0,0,0,0,219,254,92,0,0,0,0,0,254,232,0,0,0,0,0,0,254,227,0,0,0,0,0,51,254,213,0,0,0,0,0,0,254,199,0,0,0,0,84,253,147,0,0,0,0,0,0,0,248,254,98,177,200,254,253,82,0,0,0,0,0,0,0,0,203,254,254,254,254,251,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,254,253,253,128,0,0,0,0,0,0,0,0,0,0,101,253,254,241,253,253,186,0,0,0,0,0,0,0,0,0,253,253,232,109,253,253,253,0,0,0,0,0,0,0,0,141,253,237,29,0,38,253,253,0,0,0,0,0,0,0,40,253,253,27,0,0,0,253,253,0,0,0,0,0,0,195,254,254,135,0,0,0,99,254,254,0,0,0,0,0,0,253,253,253,0,0,0,0,170,253,216,0,0,0,0,0,59,253,253,93,0,31,40,247,253,204,13,0,0,0,0,0,59,253,253,156,156,253,255,253,192,15,0,0,0,0,0,0,0,253,253,253,253,253,254,174,0,0,0,0,0,0,0,0,0,116,243,253,253,146,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,252,252,252,13,0,0,0,0,0,0,0,0,0,0,224,254,252,252,252,135,17,0,0,0,0,0,0,0,0,75,252,254,231,252,252,252,45,0,0,0,0,0,0,0,75,252,252,231,0,0,252,252,252,0,0,0,0,0,0,93,252,252,252,0,0,0,158,252,252,0,0,0,0,0,5,254,254,254,41,0,0,0,150,254,254,0,0,0,0,0,85,252,252,222,0,0,0,0,252,252,214,0,0,0,0,0,252,252,252,91,0,0,18,151,252,184,28,0,0,0,0,0,252,252,252,252,252,254,252,252,252,31,0,0,0,0,0,0,13,252,252,252,252,254,252,184,0,0,0,0,0,0,0,0,0,121,252,252,252,254,214,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,236,251,253,236,144,0,0,0,0,0,0,0,0,0,0,253,251,41,143,251,251,169,15,0,0,0,0,0,0,0,79,253,225,0,0,226,251,251,164,0,0,0,0,0,0,140,251,253,15,0,0,0,77,251,251,0,0,0,0,0,32,251,251,0,0,0,0,0,0,251,251,71,0,0,0,0,73,253,253,0,0,0,0,0,0,253,253,72,0,0,0,0,176,251,251,0,0,0,0,0,0,251,251,71,0,0,0,0,253,251,142,0,0,0,0,0,0,251,251,41,0,0,0,0,73,253,253,73,10,0,0,73,253,253,216,0,0,0,0,0,0,195,251,253,251,251,253,251,225,15,0,0,0,0,0,0,0,21,142,253,251,251,253,251,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,228,253,220,32,0,0,0,0,0,0,0,0,0,0,24,236,211,189,251,251,193,0,0,0,0,0,0,0,0,0,194,251,35,0,173,251,240,158,0,0,0,0,0,0,16,186,253,110,0,0,0,39,251,251,0,0,0,0,0,0,251,251,158,0,0,0,0,0,51,251,232,0,0,0,0,96,253,253,0,0,0,0,0,0,32,253,193,0,0,0,0,214,251,204,0,0,0,0,0,0,52,251,94,0,0,0,0,253,251,70,0,0,0,0,0,0,251,251,0,0,0,0,0,0,253,253,96,0,0,0,174,253,221,0,0,0,0,0,0,0,126,236,253,251,251,253,251,47,0,0,0,0,0,0,0,0,0,67,189,188,188,189,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
